id;lb;ub
R_ATPS_l;170400;170400
R_NADPHox_c_l;0;0
R_NADHox_l;0;0
R_NADPHox_m_l;0;0
R_NADPHox_h_l;0;0
R_NADPHox_x_l;0;0
R_ATPS_s;170400;170400
R_NADPHox_c_s;0;0
R_NADHox_s;0;0
R_NADPHox_m_s;0;0
R_NADPHox_h_s;0;0
R_NADPHox_x_s;0;0
R_ATPS_r;170400;170400
R_NADPHox_c_r;0;0
R_NADHox_r;0;0
R_NADPHox_m_r;0;0
R_NADPHox_h_r;0;0
R_NADPHox_x_r;0;0
R_BIOMASS_LEAF_l;0.21;0.21
R_EX_photon_h_r;0;0
R_EX_fe2_c_l;0;0
R_EX_fe2_c_s;0;0
R_EX_k_c_l;0;0
R_EX_k_c_s;0;0
R_EX_mg2_c_l;0;0
R_EX_mg2_c_s;0;0
R_EX_nh4_c_l;0;0
R_EX_nh4_c_s;0;0
R_EX_no3_c_l;0;0
R_EX_no3_c_s;0;0
R_EX_pi_c_l;0;0
R_EX_pi_c_s;0;0
R_EX_so4_c_l;0;0
R_EX_so4_c_s;0;0
R_EX_h2o_c_l;0;0
R_EX_h2o_c_l;0;0
R_EX_h2o_x_l;0;0
R_EX_h2o_v_l;0;0
R_EX_h2o_m_l;0;0
R_EX_h2o_h_l;0;0
R_EX_h2o_c_s;0;0
R_EX_h2o_x_s;0;0
R_EX_h2o_v_s;0;0
R_EX_h2o_m_s;0;0
R_EX_h2o_h_s;0;0
R_EX_na_c_l;0;0
R_EX_na_c_s;0;0
R_EX_ca2_c_l;0;0
R_EX_ca2_c_s;0;0
R_EX_cl_c_s;0;0
R_EX_cl_c_l;0;0
R_EX_h2o_h_l;0;0
R_EX_h2o_h_s;0;0
R_EX_h2o_c_l;0;0
R_EX_h2o_c_s;0;0
R_EX_h2o_x_l;0;0
R_EX_h2o_x_s;0;0
R_EX_h2o_v_l;0;0
R_EX_h2o_v_s;0;0
R_EX_h2o_m_l;0;0
R_EX_h2o_m_s;0;0

