id;lb;ub
exch_M_akg_b;0;0
exch_M_amp_b;0;0
exch_M_arg_L_b;0;0
exch_M_ascb_L_b;0;0
exch_M_asn_L_b;0;0
exch_M_asp_L_b;0;0
exch_M_cit_b;0;0
exch_M_cmp_b;0;0
exch_M_b14glucan_b;0;0
exch_M_cholphya_b;0;0
exch_M_chlb_b;0;0
exch_M_confrl_b;0;0
exch_M_ala_L_b;0;0
exch_M_coumarylalc_b;0;0
exch_M_damp_b;0;0
exch_M_dcmp_b;0;0
exch_M_dgmp_b;0;0
exch_M_fru_b;0;0
exch_M_fum_b;0;0
exch_M_g6p_b;0;0
exch_M_4abut_b;0;0
exch_M_glc_D_b;0;0
exch_M_glu_L_b;0;0
exch_M_gly_b;0;0
exch_M_glyclt_b;0;0
exch_M_gmp_b;0;0
exch_M_glyc3p_b;0;0
exch_M_his_L_b;0;0
exch_M_icit_b;0;0
exch_M_mal_L_b;0;0
exch_M_met_L_b;0;0
exch_M_orn_b;0;0
exch_M_phe_L_b;0;0
exch_M_pro_L_b;0;0
exch_M_5oxpro_b;0;0
exch_M_ser_L_b;0;0
exch_M_succ_b;0;0
exch_M_sucr_b;0;0
exch_M_sinapylalc_b;0;0
exch_M_thr_L_b;0;0
exch_M_tmp_b;0;0
exch_M_trp_L_b;0;0
exch_M_tyr_L_b;0;0
exch_M_ump_b;0;0
exch_M_ura_b;0;0
exch_M_val_L_b;0;0
exch_M_xylan4_b;0;0
exch_M_ile_L_b;0;0
exch_M_leu_L_b;0;0
exch_M_cys_L_b;0;0
exch_M_ala_B_b;0;0
exch_M_etoh_b;0;0
exch_M_gln_L_b;0;0
exch_M_lys_L_b;0;0
exch_M_starch300_b;0;0
exch_M_photon_b;0;0
exch_M_glyc_b;0;0
exch_M_atp_cost_b;0;0
