id;ub;lb;;
Exch_r_xyl_M_phe_L_c;0.0325;0.0325;;
Exch_r_xyl_M_tyr_L_c;0.02984;0.02984;;
Exch_r_xyl_M_asn_L_c;0.25438;0.25438;;
Exch_r_xyl_M_asp_L_c;0.00594;0.00594;;
Exch_r_xyl_M_gln_L_c;4.79795;4.79795;;
Exch_r_xyl_M_arg_L_c;0.11129;0.11129;;
Exch_r_xyl_M_sucr_c;0.04841;0.04841;;
Exch_r_xyl_M_fum_c;0.00140;0.00140;;
Exch_r_xyl_M_thr_L_c;0.12632;0.12632;;
Exch_r_xyl_M_pro_L_c;0.11852;0.11852;;
Exch_r_xyl_M_val_L_c;0.09418;0.09418;;
Exch_r_xyl_M_ile_L_c;0.06416;0.06416;;
Exch_r_xyl_M_leu_L_c;0.11331;0.11331;;
Exch_r_xyl_M_lys_L_c;0.21174;0.21174;;
Exch_r_xyl_M_etoh_c;0.13542;0.13542;;
Exch_r_xyl_M_ala_L_c;0.02322;0.02322;;
Exch_r_xyl_M_glc_D_c;0.02898;0.02898;;
